greek,russian,english,example,category
η μεταρρύθμιση,реформа,reform,Η μεταρρύθμιση του ασφαλιστικού συστήματος αποτελεί βασική προτεραιότητα για την κυβέρνηση.,13 May
Η ρητορική έχει οξυνθεί.,Риторика обострилась.,The rhetoric has intensified.,Η ρητορική έχει οξυνθεί ιδιαίτερα στο μεταναστευτικό ζήτημα τις τελευταίες εβδομάδες.,Социальный контекст
Η συνοχή της κοινωνίας απειλείται.,Социальная сплочённость под угрозой.,Social cohesion is threatened.,Η συνοχή της κοινωνίας απειλείται όταν μεγάλα τμήματα του πληθυσμού αισθάνονται αποκλεισμένα.,Социальный контекст
θέτω όρια,устанавливать границы,set boundaries,Οι θεσμοί οφείλουν να θέτουν όρια στην αλόγιστη χρήση εξουσίας και στη διαφθορά.,25 Sep
θεσμός,институт / институция,institution,Η ανεξαρτησία των θεσμών αποτελεί αδιαπραγμάτευτη αρχή του ευρωπαϊκού κεκτημένου.,7 Mar
ιδιοσυστασία,конституция (биологическая),constitution (biological),Η ιδιοσυστασία κάθε κοινωνίας καθορίζει τον τρόπο με τον οποίο αντιμετωπίζει τις κρίσεις.,17 Mar
ιθαγένεια / υπηκοότητα,гражданство,citizenship,Η χορήγηση ιθαγένειας σε μετανάστες δεύτερης γενιάς αποτελεί θέμα πολιτικής αντιπαράθεσης.,9 Dec
Καλλιεργείται ένα κλίμα πόλωσης.,Формируется атмосфера поляризации.,A climate of polarization is being cultivated.,Καλλιεργείται ένα κλίμα πόλωσης που δυσχεραίνει τον εποικοδομητικό πολιτικό διάλογο.,Социальный контекст
καταθλιπτικά,подавляюще / угнетающе,depressing,"Τα στοιχεία για τη φτώχεια στη νότια Ευρώπη είναι καταθλιπτικά, αναφέρει ο Eurostat.",27 Mar
καταπιέζω,угнетаю / подавляю,"to suppress, oppress",Δεν μπορεί μια δημοκρατική κυβέρνηση να καταπιέζει τις φωνές διαφωνίας των πολιτών.,18 Nov
κοινόχρηστος,общего пользования,"shared, communal",Ο κοινόχρηστος χώρος στις πόλεις πρέπει να είναι προσβάσιμος σε όλους τους πολίτες.,5 Feb
κριτήρια επιλογής,критерии отбора,selection criteria,Τα κριτήρια επιλογής των υποψηφίων πρέπει να είναι διαφανή και αξιοκρατικά.,3 Feb
μέσα κοινωνικής δικτύωσης,социальные сети,social media,Τα μέσα κοινωνικής δικτύωσης διαμορφώνουν πλέον σε μεγάλο βαθμό την κοινή γνώμη.,Ιστορία 36
ξεπερνά τα σύνορα,выходит за границы,goes beyond the borders,"Η κλιματική κρίση ξεπερνά τα σύνορα και απαιτεί συντονισμένη διεθνή δράση, τονίζει ο ΟΗΕ.",Γ2 exam
ο μεσσιανισμός,мессианизм,messianism,Ο μεσσιανισμός στην πολιτική οδηγεί σε επικίνδυνες μορφές λαϊκισμού και αυταρχισμού.,7 Mar
ο πρόεδρος,президент,president,Ο πρόεδρος της Δημοκρατίας κάλεσε τα κόμματα σε συναινετική προσέγγιση του ζητήματος.,17 Dec
ΟΗΕ – Οργανισμός Ηνωμένων Εθνών,ООН — Организация Объединённых Наций,UN – United Nations,Ο ΟΗΕ κάλεσε τα κράτη-μέλη να ενισχύσουν τις δεσμεύσεις τους για τη μείωση εκπομπών.,Part 4
Οικουμενική Διακήρυξη των Ανθρωπίνων Δικαιωμάτων,Всеобщая декларация прав человека,Universal Declaration of Human Rights,Η Οικουμενική Διακήρυξη των Ανθρωπίνων Δικαιωμάτων γιορτάζει 75 χρόνια ως θεμέλιο του διεθνούς δικαίου.,Part 4
παγκοσμιοποίηση,глобализация,globalization,Η παγκοσμιοποίηση δημιουργεί τόσο ευκαιρίες όσο και νέες μορφές ανισότητας.,9 May
Παρατηρείται κλιμάκωση της ρητορικής.,Наблюдается эскалация риторики.,An escalation of rhetoric is observed.,Παρατηρείται κλιμάκωση της ρητορικής μεταξύ των δύο πλευρών ενόψει των εκλογών.,Фразы уровня Γ2
πληθυσμιακή έκρηξη,демографический взрыв,population explosion,Η πληθυσμιακή έκρηξη στην Αφρική δημιουργεί πρωτόγνωρες προκλήσεις για τη βιωσιμότητα.,16 Feb
προσδόκιμο,ожидаемая продолжительность,life expectancy,Το προσδόκιμο ζωής στην Ελλάδα αυξήθηκε σημαντικά τις τελευταίες δεκαετίες.,30 May
πόλωση,поляризация,polarization,Η πόλωση στο πολιτικό σκηνικό δυσχεραίνει τη λήψη αποφάσεων για κρίσιμα ζητήματα.,3 Feb
σκλαβώνω,порабощать,to enslave,"Η ιστορία δεν πρέπει να ξεχαστεί, ώστε κανείς να μη σκλαβώνει ξανά τον συνάνθρωπό του.",12 Dec
συνοριακός,пограничный,border (adj.),Η συνοριακή ασφάλεια αποτελεί κεντρικό θέμα στη συζήτηση για τη μεταναστευτική πολιτική.,10 Mar
σύνταγμα,конституция,constitution,Η αναθεώρηση του Συντάγματος αποτελεί ύψιστη πολιτειακή πράξη στη δημοκρατική διαδικασία.,16 May
Τα πράγματα δεν είναι τόσο μονοδιάστατα.,Всё не так однозначно.,Things are not that one-dimensional.,"Τα πράγματα δεν είναι τόσο μονοδιάστατα, όπως τα παρουσιάζουν ορισμένοι αναλυτές.",Анализ ситуации
τα σύνορα,границы,borders,Τα σύνορα της χώρας βρίσκονται υπό πίεση εξαιτίας των μεταναστευτικών ροών.,10 Mar
Το ζήτημα έχει πολλές διαστάσεις.,У вопроса много измерений.,The issue has many dimensions.,Το ζήτημα έχει πολλές διαστάσεις και δεν μπορεί να αντιμετωπιστεί με απλοϊκές λύσεις.,Анализ ситуации
Το πρόβλημα έχει βαθύτερες ρίζες.,У проблемы более глубокие корни.,The problem has deeper roots.,Το πρόβλημα έχει βαθύτερες ρίζες που συνδέονται με δομικές αδυναμίες του κράτους.,Анализ ситуации
τοπική κοινωνία,местное сообщество,local community,Η τοπική κοινωνία αντέδρασε έντονα στην ανέγερση νέου εργοστασίου στην περιοχή.,Ιστορία 32
τυραννώ,"тиранить, мучить","to tyrannize, torment","Η γραφειοκρατία τυραννά τους πολίτες, καθυστερώντας ακόμα και τα πιο απλά αιτήματα.",16 Feb
Υπάρχει μια υποβόσκουσα ένταση.,Существует скрытая напряжённость.,There is an underlying tension.,Υπάρχει μια υποβόσκουσα ένταση στις σχέσεις μεταξύ κυβέρνησης και τοπικής αυτοδιοίκησης.,Анализ ситуации
Υποβόσκει μια βαθύτερη κρίση.,Тлеет более глубокий кризис.,A deeper crisis is simmering beneath.,"Υποβόσκει μια βαθύτερη κρίση στους κόλπους του κόμματος, σύμφωνα με εσωκομματικές πηγές.",Фразы уровня Γ2
υφιστάμενος,подчинённый,subordinate,Ο υφιστάμενος θεσμικός πλαίσιο χρειάζεται εκσυγχρονισμό για να ανταποκριθεί στις νέες ανάγκες.,19 Aug
φυλή,"племя, раса","tribe, race",Η έννοια της φυλής χρησιμοποιείται πλέον με επιφυλάξεις στις κοινωνικές επιστήμες.,27 Jan
Χρειάζεται πιο σύνθετη προσέγγιση.,Нужен более комплексный подход.,A more complex approach is needed.,Χρειάζεται πιο σύνθετη προσέγγιση που θα λαμβάνει υπόψη όλες τις παραμέτρους.,Анализ ситуации
η κρίση,суждение / кризис,judgment / crisis,Η κρίση στη Μέση Ανατολή επηρεάζει άμεσα τις τιμές ενέργειας στην Ευρώπη.,3 Mar
τυπικός κοινωνικός έλεγχος,формальный социальный контроль,formal social control,"Ο τυπικός κοινωνικός έλεγχος ασκείται μέσω νόμων, δικαστηρίων και κρατικών θεσμών.",27 Jan
αντίκτυπος,"воздействие, влияние",impact,Ο αντίκτυπος της πανδημίας στην παγκόσμια οικονομία αποτιμάται σε τρισεκατομμύρια ευρώ.,12 Dec
αποβλέπω,стремиться / нацеливаться,to aim / to intend,Η κυβέρνηση αποβλέπει στην ενίσχυση της ανταγωνιστικότητας μέσω φορολογικών μεταρρυθμίσεων.,17 Mar
διάδοση,распространение,spread / dissemination,Η ταχεία διάδοση της παραπληροφόρησης στα μέσα κοινωνικής δικτύωσης αποτελεί σημαντική πρόκληση.,Γ2 exam
επί της ουσίας,по существу,essentially,"Επί της ουσίας, η πρόταση δεν διαφέρει σημαντικά από τις προηγούμενες προσπάθειες.",16 May
επί τούτου,"нарочно, намеренно",deliberately,Η πράξη δεν ήταν τυχαία· διαπράχθηκε επί τούτου για να προκαλέσει πολιτική αναταραχή.,30 May
επί τόπου,на месте,on the spot,Ο δήμαρχος μετέβη επί τόπου για να διαπιστώσει την έκταση των ζημιών.,16 May
επίβλεψη,надзор,supervision,Η ανεξάρτητη επίβλεψη του χρηματοπιστωτικού συστήματος αποτρέπει νέα τραπεζική κρίση.,16 May
επικρατούν,преобладают,prevail,"Στην ελληνική αγορά εργασίας επικρατούν συνθήκες αβεβαιότητας, σύμφωνα με πρόσφατη έρευνα.",Γ2 exam
επικρατώ,"преобладать, доминировать","prevail, dominate",Στον δημόσιο διάλογο επικρατεί μια αίσθηση αποσύνθεσης των πολιτικών θεσμών.,22 Dec
σκόπιμος,преднамеренный,deliberate,Η σκόπιμη παραπληροφόρηση αποτελεί σοβαρή απειλή για τη δημοκρατική λειτουργία.,27 Jan
κοινωνική προσφορά,социальный вклад,social contribution,Η κοινωνική προσφορά των εθελοντικών οργανώσεων αναγνωρίζεται πλέον ευρέως στη χώρα.,Ιστορία 26
κοινωνικός έλεγχος,социальный контроль,social control,Ο κοινωνικός έλεγχος μέσω τεχνολογίας εγείρει σοβαρά ηθικά και νομικά ερωτήματα.,27 Jan
κοινός,общий,common,Το κοινό συμφέρον πρέπει να υπερέχει των ιδιωτικών σκοπιμοτήτων στη δημόσια πολιτική.,12 Dec
ορθολογικός,рациональный,rational,Μόνο μέσα από ορθολογικό σχεδιασμό μπορεί να επιτευχθεί βιώσιμη ανάπτυξη στη χώρα.,3 Mar
ορθολογισμός,рационализм,rationalism,Ο ορθολογισμός του Διαφωτισμού διαμόρφωσε τα θεμέλια της σύγχρονης ευρωπαϊκής σκέψης.,7 Mar
ορθολογιστής,рационалист,rationalist,Ο ορθολογιστής φιλόσοφος αντιτάχθηκε στις δοξασίες που στερούνταν εμπειρικής βάσης.,7 Mar
στοχευμένο,целенаправленное,targeted,Το στοχευμένο πρόγραμμα στήριξης αφορά οικογένειες με χαμηλά εισοδήματα στις αστικές περιοχές.,5 Mar — история о взломе
άτυπος κοινωνικός έλεγχος,неформальный социальный контроль,informal social control,"Ο άτυπος κοινωνικός έλεγχος ασκείται μέσω εθίμων, παραδόσεων και κοινωνικής πίεσης.",27 Jan
